feature,gain_score,importance_percent
meta_home_team_rating,0.15567925572395325,15.567927319496164
meta_away_starting_11_avg_rating,0.12728895246982574,12.728896675474989
meta_home_starting_11_avg_rating,0.1133933737874031,11.339338651290449
meta_away_team_rating,0.09899839758872986,9.899840869876392
meta_home_DF_count,0.015106042847037315,1.5106044542303652
meta_away_MF_count,0.013216136023402214,1.321613750657492
meta_home_MF_avg_rating,0.012767111882567406,1.2767113315348657
meta_home_GK_avg_rating,0.012744727544486523,1.2744728974755706
meta_away_GK_max_rating,0.012384341098368168,1.2384342488193205
meta_home_GK_max_rating,0.011797803454101086,1.1797804778102297
meta_away_bench_strength_avg_rating,0.011666827835142612,1.1666829144445166
meta_away_GK_avg_rating,0.011398919858038425,1.139892113727517
meta_stadium_capacity,0.011016377247869968,1.1016378484176106
meta_home_DF_max_rating,0.010841206647455692,1.0841207864103417
meta_home_FW_max_rating,0.010560352355241776,1.0560353540370802
meta_away_GK_min_rating,0.010438140481710434,1.0438141653124309
meta_attendance,0.010332484729588032,1.0332485889144754
meta_home_bench_strength_avg_rating,0.01027829758822918,1.0278298741704783
meta_away_DF_avg_rating,0.010128227062523365,1.0128228199157396
meta_away_subs_count,0.010017748922109604,1.0017750046345295
meta_home_FW_avg_rating,0.009965133853256702,0.9965134971587699
meta_tournament_round_name,0.009910237044095993,0.9910238156266229
meta_away_avg_age,0.00976495910435915,0.9764960200225659
meta_away_MF_avg_rating,0.009668855927884579,0.9668857012965968
meta_home_coach_id,0.009545757435262203,0.954575850652894
meta_home_DF_avg_rating,0.009357723407447338,0.9357724457612073
meta_away_DF_min_rating,0.009345400147140026,0.9345401195921791
meta_stadium_lat,0.009290531277656555,0.9290532320280693
meta_away_FW_avg_rating,0.009182021021842957,0.9182022052289599
meta_home_market_value,0.009014864452183247,0.9014865463870847
meta_home_FW_min_rating,0.008905837312340736,0.8905838311792832
meta_away_FW_max_rating,0.008789420127868652,0.8789421114255902
meta_home_MF_min_rating,0.008786361664533615,0.878636265057763
meta_away_team_id,0.0087284529581666,0.8728453937711846
meta_away_DF_max_rating,0.008557399734854698,0.8557400695203603
meta_stadium_long,0.008462746627628803,0.8462747577355321
meta_away_unavailable_count,0.008322617039084435,0.8322617973084996
meta_home_team_id,0.008253308944404125,0.8253309870626628
meta_home_unavailable_count,0.008191335014998913,0.8191335934266429
meta_cloud_cover,0.008142998442053795,0.8142999355896771
meta_home_FW_count,0.008024263195693493,0.8024264096211478
meta_home_avg_age,0.007938571274280548,0.7938572165181811
meta_temperature,0.007937049493193626,0.7937050383924107
meta_home_MF_count,0.007896372117102146,0.7896373003267634
meta_tournament_round,0.007600623182952404,0.760062403592765
meta_home_MF_max_rating,0.007567244116216898,0.7567244965446198
meta_humidity,0.007524730172008276,0.7524731016466476
meta_away_market_value,0.0075120627880096436,0.7512063631046254
meta_weather_icon_code,0.007412235718220472,0.7412236550054051
meta_away_FW_min_rating,0.007368382532149553,0.7368383359061735
meta_away_MF_max_rating,0.0073178899474442005,0.7317890768689884
meta_home_GK_min_rating,0.007135882508009672,0.7135883308829682
meta_home_DF_min_rating,0.0068295979872345924,0.6829598753682011
meta_insights_count,0.006751889828592539,0.6751890586319208
meta_away_MF_min_rating,0.006694258656352758,0.6694259407611804
meta_home_subs_count,0.0066719395108520985,0.6671940259606393
meta_away_coach_id,0.005727406125515699,0.5727406768270317
meta_away_FW_count,0.005588558502495289,0.5588559129667818
meta_away_DF_count,0.005502261687070131,0.5502262304558053
meta_wind_speed,0.00475798174738884,0.47579822813504047
