src_path,target_path,action,reason
docs/TEST_STRATEGY.md,docs/testing/TEST_STRATEGY.md,merge,与 TESTING_STRATEGY.md 合并
docs/TESTING_STRATEGY.md,docs/testing/TEST_STRATEGY.md,keep,保留合并结果
docs/DEPLOYMENT_GUIDE.md,docs/how-to/DEPLOYMENT_GUIDE.md,move,部署指南
docs/PRODUCTION_DEPLOYMENT_GUIDE.md,docs/how-to/PRODUCTION_DEPLOYMENT_GUIDE.md,move,生产部署手册
docs/architecture.md,docs/architecture/architecture.md,move,系统架构文档
docs/ARCHITECTURE_IMPROVEMENTS.md,docs/architecture/ARCHITECTURE_IMPROVEMENTS.md,move,架构优化改进说明
docs/MONITORING.md,docs/ops/MONITORING.md,move,监控与告警机制
docs/monitoring.md,docs/ops/MONITORING.md,deprecate,重复，保留 MONITORING.md
docs/PHASE6_PROGRESS.md,docs/legacy/PHASE6_PROGRESS.md,deprecate,阶段性报告，归档
docs/PHASE5_COMPLETION_REPORT.md,docs/legacy/PHASE5_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE5.3.2.2_COMPLETION_REPORT.md,docs/legacy/PHASE5.3.2.2_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/TESTING_OPTIMIZATION_REPORT.md,docs/legacy/TESTING_OPTIMIZATION_REPORT.md,deprecate,阶段性报告，归档
docs/CI_FIX_REPORT.md,docs/legacy/CI_FIX_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE_COMPLETION_AUDIT.md,docs/legacy/PHASE_COMPLETION_AUDIT.md,deprecate,阶段性报告，归档
docs/CI_MIGRATION_COMPATIBILITY_REPORT.md,docs/legacy/CI_MIGRATION_COMPATIBILITY_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE5.3_COMPLETION_REPORT.md,docs/legacy/PHASE5.3_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE5.2.1_COMPLETION_REPORT.md,docs/legacy/PHASE5.2.1_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/LOCAL_CI_REPORT.md,docs/legacy/LOCAL_CI_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE5322_COMPLETION_REPORT.md,docs/legacy/PHASE5322_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/REPAIR_VERIFICATION_REPORT.md,docs/legacy/REPAIR_VERIFICATION_REPORT.md,deprecate,阶段性报告，归档
docs/CI_FINAL_REPORT.md,docs/legacy/CI_FINAL_REPORT.md,deprecate,阶段性报告，归档
docs/CI_REPORT.md,docs/legacy/CI_REPORT.md,deprecate,阶段性报告，归档
docs/COVERAGE_BASELINE_REPORT.md,docs/legacy/COVERAGE_BASELINE_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE6_COMPLETION_REPORT.md,docs/legacy/PHASE6_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/PHASE5.2_COMPLETION_REPORT.md,docs/legacy/PHASE5.2_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/CI_SLOW_SUITE_FIX_REPORT.md,docs/legacy/CI_SLOW_SUITE_FIX_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/QUALITY_REPORT.md,docs/legacy/QUALITY_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/DATABASE_CONFIG_FIXES_REPORT.md,docs/legacy/DATABASE_CONFIG_FIXES_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/PRODUCTION_DEPLOYMENT_MONITORING_COMPLETION_REPORT.md,docs/legacy/PRODUCTION_DEPLOYMENT_MONITORING_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/STAGE6_COMPLETION_REPORT.md,docs/legacy/STAGE6_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/OPTIMIZATION_REPORT.md,docs/legacy/OPTIMIZATION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/COVERAGE_IMPROVEMENT_FINAL_REPORT.md,docs/legacy/COVERAGE_IMPROVEMENT_FINAL_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/STAGE3_PROGRESS_REPORT.md,docs/legacy/STAGE3_PROGRESS_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/PROBLEM_RESOLUTION_REPORT.md,docs/legacy/PROBLEM_RESOLUTION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/TEST_ARCHITECTURE_REFACTOR_REPORT.md,docs/legacy/TEST_ARCHITECTURE_REFACTOR_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/MARSHMALLOW_WARNING_RESOLUTION_REPORT.md,docs/legacy/MARSHMALLOW_WARNING_RESOLUTION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/CI_SUCCESS_REPORT.md,docs/legacy/CI_SUCCESS_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/QUALITY_IMPROVEMENT_COMPLETION_REPORT.md,docs/legacy/QUALITY_IMPROVEMENT_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/PROBLEM_STATUS_FINAL_REPORT.md,docs/legacy/PROBLEM_STATUS_FINAL_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/QA_VERIFICATION_REPORT.md,docs/legacy/QA_VERIFICATION_REPORT.md,deprecate,阶段性报告，归档
docs/reports_archive/EXTERNAL_DEPENDENCIES_COMPLETION_REPORT.md,docs/legacy/EXTERNAL_DEPENDENCIES_COMPLETION_REPORT.md,deprecate,阶段性报告，归档
